AUTO,distance,angle,Length,distance_2,angle_2,pre_monsoon1,post_monsoon1
1,100,223.774663501914,308,300,133.774663501917,277.933013916016,278.107971191406
1,150,230.206711438718,319,0,140.206711438719,277.587829589844,277.679779052734
1,150,230.206711438718,319,10,140.206711438719,277.617645263672,277.706909179688
1,150,230.206711438718,319,20,140.206711438719,277.165435791016,277.270446777344
1,150,230.206711438718,319,30,140.206711438719,277.007141113281,277.106658935547
1,150,230.206711438718,319,40,140.206711438719,276.885711669922,276.994567871094
1,150,230.206711438718,319,50,140.206711438719,276.79248046875,276.931579589844
1,150,230.206711438718,319,60,140.206711438719,276.838012695312,277.009216308594
1,150,230.206711438718,319,70,140.206711438719,276.748840332031,276.969024658203
1,150,230.206711438718,319,80,140.206711438719,276.736999511719,276.977569580078
1,150,230.206711438718,319,90,140.206711438719,276.644653320312,276.927673339844
1,150,230.206711438718,319,100,140.206711438719,276.475555419922,277.015594482422
1,150,230.206711438718,319,110,140.206711438719,276.532287597656,276.949768066406
1,150,230.206711438718,319,120,140.206711438719,276.494842529297,276.929443359375
1,150,230.206711438718,319,130,140.206711438719,276.583923339844,276.835174560547
1,150,230.206711438718,319,140,140.206711438719,276.639251708984,276.751220703125
1,150,230.206711438718,319,150,140.206711438719,276.612701416016,276.669738769531
1,150,230.206711438718,319,160,140.206711438719,276.576263427734,276.744812011719
1,150,230.206711438718,319,170,140.206711438719,276.519653320312,276.612030029297
1,150,230.206711438718,319,180,140.206711438719,276.507690429688,276.575775146484
1,150,230.206711438718,319,190,140.206711438719,276.514587402344,276.639709472656
1,150,230.206711438718,319,200,140.206711438719,276.567749023438,276.782623291016
1,150,230.206711438718,319,210,140.206711438719,276.609680175781,276.859313964844
1,150,230.206711438718,319,220,140.206711438719,276.619293212891,276.979705810547
1,150,230.206711438718,319,230,140.206711438719,276.657318115234,277.040771484375
1,150,230.206711438718,319,240,140.206711438719,276.809143066406,277.140808105469
1,150,230.206711438718,319,250,140.206711438719,276.894073486328,277.187316894531
1,150,230.206711438718,319,260,140.206711438719,277.065032958984,277.315795898438
1,150,230.206711438718,319,270,140.206711438719,277.143218994141,277.366546630859
1,150,230.206711438718,319,280,140.206711438719,277.284515380859,277.453369140625
1,150,230.206711438718,319,290,140.206711438719,277.343048095703,277.490692138672
1,150,230.206711438718,319,300,140.206711438719,277.538970947266,277.643035888672
1,150,230.206711438718,319,310,140.206711438719,277.660278320312,277.763336181641
1,200,222.920977801044,323,0,132.920977801028,276.555541992188,276.689178466797
1,200,222.920977801044,323,10,132.920977801028,276.592407226562,276.722259521484
1,200,222.920977801044,323,20,132.920977801028,276.491027832031,276.626281738281
1,200,222.920977801044,323,30,132.920977801028,276.466430664062,276.60546875
1,200,222.920977801044,323,40,132.920977801028,276.377380371094,276.525970458984
1,200,222.920977801044,323,50,132.920977801028,276.378509521484,276.529479980469
1,200,222.920977801044,323,60,132.920977801028,276.354461669922,276.510803222656
1,200,222.920977801044,323,70,132.920977801028,276.285247802734,276.462799072266
1,200,222.920977801044,323,80,132.920977801028,276.299102783203,276.494201660156
1,200,222.920977801044,323,90,132.920977801028,276.280700683594,276.501983642578
1,200,222.920977801044,323,100,132.920977801028,276.226531982422,276.513916015625
1,200,222.920977801044,323,110,132.920977801028,276.194641113281,276.525543212891
1,200,222.920977801044,323,120,132.920977801028,276.178802490234,276.595428466797
1,200,222.920977801044,323,130,132.920977801028,276.081695556641,276.504791259766
1,200,222.920977801044,323,140,132.920977801028,276.057464599609,276.453063964844
1,200,222.920977801044,323,150,132.920977801028,276.088073730469,276.346557617188
1,200,222.920977801044,323,160,132.920977801028,276.082885742188,276.307342529297
1,200,222.920977801044,323,170,132.920977801028,276.061431884766,276.310852050781
1,200,222.920977801044,323,180,132.920977801028,276.122131347656,276.335388183594
1,200,222.920977801044,323,190,132.920977801028,276.160461425781,276.358764648438
1,200,222.920977801044,323,200,132.920977801028,276.264282226562,276.488586425781
1,200,222.920977801044,323,210,132.920977801028,276.304321289062,276.560516357422
1,200,222.920977801044,323,220,132.920977801028,276.384399414062,276.634338378906
1,200,222.920977801044,323,230,132.920977801028,276.433471679688,276.677856445312
1,200,222.920977801044,323,240,132.920977801028,276.509887695312,276.738647460938
1,200,222.920977801044,323,250,132.920977801028,276.626800537109,276.846008300781
1,200,222.920977801044,323,260,132.920977801028,276.729431152344,276.923889160156
1,200,222.920977801044,323,270,132.920977801028,276.845458984375,277.029846191406
1,200,222.920977801044,323,280,132.920977801028,276.918121337891,277.090698242188
1,200,222.920977801044,323,290,132.920977801028,277.064544677734,277.214080810547
1,200,222.920977801044,323,300,132.920977801028,277.139739990234,277.279296875
1,200,222.920977801044,323,310,132.920977801028,277.341156005859,277.465209960938
1,200,222.920977801044,323,320,132.920977801028,277.278564453125,277.406890869141
1,250,230.568116355629,320,0,140.568116355637,278.111907958984,278.182922363281
1,250,230.568116355629,320,10,140.568116355637,277.176086425781,277.208709716797
1,250,230.568116355629,320,20,140.568116355637,276.440032958984,276.479614257812
1,250,230.568116355629,320,30,140.568116355637,276.322723388672,276.399291992188
1,250,230.568116355629,320,40,140.568116355637,276.284820556641,276.404693603516
1,250,230.568116355629,320,50,140.568116355637,276.2509765625,276.3828125
1,250,230.568116355629,320,60,140.568116355637,276.203399658203,276.236206054688
1,250,230.568116355629,320,70,140.568116355637,276.157836914062,276.245361328125
1,250,230.568116355629,320,80,140.568116355637,276.114349365234,276.350921630859
1,250,230.568116355629,320,90,140.568116355637,276.103363037109,276.37158203125
1,250,230.568116355629,320,100,140.568116355637,276.105621337891,276.391510009766
1,250,230.568116355629,320,110,140.568116355637,276.025573730469,276.350524902344
1,250,230.568116355629,320,120,140.568116355637,275.982971191406,276.328704833984
1,250,230.568116355629,320,130,140.568116355637,275.783142089844,276.288818359375
1,250,230.568116355629,320,140,140.568116355637,275.722595214844,276.307434082031
1,250,230.568116355629,320,150,140.568116355637,275.869964599609,276.080627441406
1,250,230.568116355629,320,160,140.568116355637,275.801513671875,276.086853027344
1,250,230.568116355629,320,170,140.568116355637,275.774291992188,276.221038818359
1,250,230.568116355629,320,180,140.568116355637,275.770324707031,276.118621826172
1,250,230.568116355629,320,190,140.568116355637,275.853851318359,276.081420898438
1,250,230.568116355629,320,200,140.568116355637,275.932006835938,276.119934082031
1,250,230.568116355629,320,210,140.568116355637,276.041229248047,276.459350585938
1,250,230.568116355629,320,220,140.568116355637,276.176177978516,276.518615722656
1,250,230.568116355629,320,230,140.568116355637,276.380432128906,276.64453125
1,250,230.568116355629,320,240,140.568116355637,276.493194580078,276.658752441406
1,250,230.568116355629,320,250,140.568116355637,276.719390869141,276.567047119141
1,250,230.568116355629,320,260,140.568116355637,276.714416503906,276.768371582031
1,250,230.568116355629,320,270,140.568116355637,276.845397949219,276.937713623047
1,250,230.568116355629,320,280,140.568116355637,277.074035644531,277.173400878906
1,250,230.568116355629,320,290,140.568116355637,277.215148925781,277.291198730469
1,250,230.568116355629,320,300,140.568116355637,277.333618164062,277.396575927734
1,250,230.568116355629,320,310,140.568116355637,278.078582763672,278.135406494141
1,250,230.568116355629,320,320,140.568116355637,278.5009765625,278.525482177734
1,300,236.184182848136,328,0,146.184182848132,276.589447021484,276.693878173828
1,300,236.184182848136,328,10,146.184182848132,276.468109130859,276.570190429688
1,300,236.184182848136,328,20,146.184182848132,276.188323974609,276.297424316406
1,300,236.184182848136,328,30,146.184182848132,276.058349609375,276.168792724609
1,300,236.184182848136,328,40,146.184182848132,276.012115478516,276.129577636719
1,300,236.184182848136,328,50,146.184182848132,275.951232910156,276.068664550781
1,300,236.184182848136,328,60,146.184182848132,275.912170410156,276.026123046875
1,300,236.184182848136,328,70,146.184182848132,275.892364501953,276.014617919922
1,300,236.184182848136,328,80,146.184182848132,275.869598388672,275.991851806641
1,300,236.184182848136,328,90,146.184182848132,275.849578857422,275.983612060547
1,300,236.184182848136,328,100,146.184182848132,275.808990478516,275.978515625
1,300,236.184182848136,328,110,146.184182848132,275.671142578125,275.964385986328
1,300,236.184182848136,328,120,146.184182848132,275.593872070312,275.946899414062
1,300,236.184182848136,328,130,146.184182848132,275.582580566406,275.939514160156
1,300,236.184182848136,328,140,146.184182848132,275.548706054688,275.929016113281
1,300,236.184182848136,328,150,146.184182848132,275.587890625,275.937622070312
1,300,236.184182848136,328,160,146.184182848132,275.723602294922,275.957153320312
1,300,236.184182848136,328,170,146.184182848132,275.496917724609,275.893829345703
1,300,236.184182848136,328,180,146.184182848132,275.465026855469,275.935760498047
1,300,236.184182848136,328,190,146.184182848132,275.425415039062,275.971649169922
1,300,236.184182848136,328,200,146.184182848132,275.389465332031,275.910095214844
1,300,236.184182848136,328,210,146.184182848132,275.466735839844,275.875122070312
